Device,G_Swap_Total,G_Swap_Free,G_Swap_Used,G_Proc_Run,G_Cpu_User,G_Cpu_Wio,G_Load_One,G_Load,G_Five,G_Load_Fifteen,G_Mem_Cached,G_Mem_Total,T_State,T_Slots,T_SlotsUsed,T_AvailMem(MB),T_TotalMem(MB)/Swap,T_Time_Last_Rec,T_LoadAve ,T_NetLoad(MB)
compute-2-7,10061.0,9923.96,137.03,4.0,96.0,0.6,3.87,3.78,3799956.0,8255316.0,481.606,434.287,2,4,4,13878.82,18122.83,30.07,3.97,884484.91
compute-1-9,10061.0,9911.86,149.14,4.0,76.8,1.0,2.67,2.36,2726052.0,8255316.0,481.606,432.855,2,4,4,12799.16,18122.83,36.07,3.07,776230.5
compute-1-8,10061.0,9161.12,899.88,4.0,80.0,1.1,3.11,3.52,2572700.0,8255316.0,481.606,426.858,2,4,4,11958.34,18122.83,29.07,2.98,1003484.92
compute-6-11,10061.0,9923.57,137.43,3.0,73.5,1.4,3.12,2.95,4024836.0,8255316.0,481.606,435.227,2,4,4,15158.74,18122.83,30.07,3.19,947297.69
compute-6-14,10061.0,10050.54,10.46,0.0,0.0,0.0,0.0,0.0,1793092.0,8255316.0,481.606,449.979,4,4,0,17855.75,18122.83,4.07,0.00,16808.41
compute-6-15,10061.0,9993.94,67.06,13.0,68.2,0.8,2.57,2.44,2705236.0,8255316.0,481.606,431.858,2,4,4,13478.29,18122.83,28.07,2.57,1029041.05
compute-6-16,10061.0,9997.99,63.01,7.0,77.0,1.0,3.46,3.52,5510768.0,8255316.0,481.606,433.86,2,4,4,16027.21,18122.83,23.07,3.45,1244182.55
compute-6-17,10061.0,9998.66,62.33,4.0,90.0,1.3,3.43,3.3,5357948.0,8255316.0,481.606,433.372,2,4,4,15686.92,18122.83,25.07,3.64,906811.19
compute-6-10,10061.0,9973.49,87.51,4.0,70.6,1.3,2.9,2.8,4385112.0,8255316.0,481.606,434.349,2,4,4,14689.28,18122.83,27.07,2.96,1729083.46
compute-5-4,10061.0,9925.68,135.32,4.0,80.5,0.5,3.49,3.6,3353144.0,8255316.0,481.606,434.245,2,4,4,14848.28,18122.83,25.07,3.74,1046526.31
compute-6-12,10061.0,9999.15,61.85,4.0,94.7,1.1,3.88,3.74,5710220.0,8255316.0,481.606,434.729,2,4,4,15848.91,18122.83,28.07,4.06,929145.95
compute-6-13,10061.0,9895.97,165.03,2.0,55.0,1.3,2.45,2.39,2885796.0,8255316.0,481.606,435.44,2,4,4,14704.72,18122.83,31.07,2.44,1153684.86
compute-6-18,10061.0,10000.62,60.38,4.0,96.0,1.1,4.13,4.04,3065036.0,8255316.0,481.606,434.838,2,4,4,16048.29,18122.83,28.07,4.20,1046009.19
compute-1-11,10061.0,9997.85,63.15,4.0,89.3,1.5,3.81,3.9,5414404.0,8255316.0,481.606,433.699,2,4,4,16427.84,18122.83,32.07,3.74,987072.02
compute-1-10,10061.0,10005.28,55.72,4.0,95.3,0.9,3.77,3.74,5927276.0,8255316.0,481.606,435.325,2,4,4,16065.31,18122.83,31.07,4.10,920778.63
compute-1-13,10061.0,9876.89,184.11,3.0,73.0,1.6,3.05,3.15,3163608.0,8255316.0,481.606,432.982,2,4,4,15415.32,18122.83,34.07,3.01,1058371.74
compute-1-12,10061.0,9410.4,650.59,4.0,70.2,0.5,3.12,2.99,3301396.0,8255316.0,481.606,434.423,2,4,4,12905.54,18122.83,36.07,3.01,1316113.64
compute-1-15,10061.0,10010.16,50.84,3.0,71.1,2.1,3.51,3.78,3912336.0,8255316.0,481.606,424.412,2,4,4,15897.91,18122.83,31.07,3.56,803830.48
compute-1-14,10061.0,9998.21,62.79,3.0,57.3,1.6,2.23,2.19,4033644.0,8255316.0,481.606,435.101,2,4,4,15296.45,18122.83,30.07,2.49,863350.88
compute-1-17,10061.0,10006.18,54.81,4.0,91.2,1.5,3.69,3.36,5662692.0,8255316.0,481.606,431.294,2,4,4,15778.98,18122.83,26.07,3.75,1598802.01
compute-1-16,10061.0,9780.19,280.8,4.0,97.5,0.1,3.84,3.79,3197516.0,8255316.0,481.606,433.439,2,4,4,14021.63,18122.83,30.07,4.05,802810.47
compute-5-15,10061.0,9997.64,63.36,2.0,25.0,0.5,1.32,1.21,3586048.0,8255316.0,481.606,435.826,2,4,4,14401.13,18122.83,31.07,1.57,824115.91
compute-5-14,10061.0,9858.99,202.0,2.0,48.7,1.2,2.19,2.24,2996964.0,8255316.0,481.606,434.997,2,4,4,13013.09,18122.83,33.07,2.21,943657.76
compute-5-16,10061.0,9624.24,436.75,3.0,67.0,2.1,2.95,2.86,3211928.0,8255316.0,481.606,435.775,2,4,4,14258.62,18122.83,28.07,3.00,1006186.42
compute-5-11,10061.0,10000.36,60.64,3.0,72.8,2.5,2.44,2.13,4065500.0,8255316.0,481.606,437.217,1,4,3,14579.89,18122.83,29.07,3.04,1048972.87
compute-5-10,10061.0,9808.06,252.93,4.0,79.1,1.1,3.41,3.28,3797092.0,8255316.0,481.606,430.512,2,4,4,13940.58,18122.83,25.07,3.69,978499.48
compute-5-13,10061.0,10007.57,53.43,4.0,84.7,1.9,3.54,3.24,4022516.0,8255316.0,481.606,434.474,2,4,4,16410.55,18122.83,33.07,4.03,1068706.5
compute-5-12,10061.0,9473.82,587.18,4.0,97.7,0.3,3.93,3.86,2242744.0,8255316.0,304.395,265.928,2,4,4,12931.02,18122.83,30.07,3.99,880255.53
compute-12-2,26148.0,26126.13,21.87,0.0,0.0,0.0,0.0,0.0,3146364.0,24727772.0,465.001,430.197,1,12,0,49769.38,50296.21,32.07,0.00,392803.01
compute-12-1,26148.0,26130.57,17.43,0.0,0.0,0.0,0.0,0.05,2512340.0,24727772.0,465.001,429.082,1,12,0,49724.04,50296.21,17.07,0.00,384416.5
compute-5-28,10061.0,10010.77,50.23,2.0,77.2,0.8,3.49,3.49,2905280.0,8255316.0,481.606,435.89,2,4,4,16537.24,18122.83,26.07,2.90,778800.16
compute-5-29,10061.0,9994.84,66.15,4.0,92.5,2.5,4.11,4.01,5436104.0,8255316.0,481.606,435.016,1,4,3,16474.81,18122.83,29.07,3.42,1038900.42
compute-5-24,10061.0,9989.75,71.25,3.0,73.7,1.5,2.81,2.46,4032892.0,8255316.0,481.606,435.586,2,4,4,14285.74,18122.83,33.07,2.88,970104.5
compute-5-25,10061.0,10004.96,56.04,4.0,95.0,1.6,4.18,3.97,4386716.0,8255316.0,481.606,433.945,2,4,4,16302.98,18122.83,29.07,4.21,1052012.26
compute-5-26,10061.0,9996.28,64.72,3.0,75.9,1.3,3.07,3.02,5105072.0,8255316.0,481.606,426.539,2,4,4,15163.07,18122.83,30.07,3.19,989633.67
compute-5-27,10061.0,9879.79,181.2,3.0,69.5,1.1,3.03,2.93,4106196.0,8255316.0,481.606,434.61,2,4,4,14135.34,18122.83,17.07,3.20,998579.65
compute-5-23,10061.0,9933.04,127.95,3.0,34.2,1.2,1.54,1.7,3341484.0,8255316.0,481.606,436.375,0,4,4,14432.4,18122.83,1429.07,1.53,815306.59
compute-13-18,10061.0,8723.45,1337.54,3.0,72.9,0.2,2.91,2.9,3213760.0,8255316.0,481.606,434.07,2,4,4,12190.14,18122.83,18.07,2.81,844829.98
compute-13-13,10061.0,9610.25,450.74,3.0,41.5,2.5,1.66,1.56,2974920.0,8255316.0,481.606,435.035,2,4,4,13948.0,18122.83,25.07,1.72,833830.55
compute-13-12,10061.0,9992.77,68.23,3.0,75.7,1.1,3.15,3.02,3735468.0,8255316.0,481.606,435.229,2,4,4,15209.99,18122.83,16.07,3.12,1346745.89
compute-13-11,10061.0,10004.78,56.22,2.0,80.7,6.4,4.17,4.01,5687372.0,8255316.0,481.606,435.091,2,4,4,15906.35,18122.83,32.07,3.74,998787.36
compute-13-10,10061.0,9990.64,70.36,3.0,84.6,0.8,3.84,3.72,3681264.0,8255316.0,481.606,433.946,1,4,3,15184.74,18122.83,15.07,3.64,1016386.45
compute-13-17,10061.0,10001.07,59.92,0.0,16.1,0.3,0.37,0.37,2724148.0,8255316.0,481.606,433.079,2,4,4,12887.2,18122.83,20.07,0.35,765779.71
compute-13-16,10061.0,9792.39,268.6,3.0,79.5,0.1,3.08,3.02,2881888.0,8255316.0,481.606,431.777,2,4,4,12802.23,18122.83,23.07,3.20,975978.41
compute-13-15,10061.0,9943.57,117.42,2.0,67.8,1.4,2.77,2.65,2162704.0,8255316.0,481.606,434.468,2,4,4,12244.5,18122.83,23.07,2.59,953646.19
compute-13-14,10061.0,9949.08,111.91,3.0,71.2,0.6,2.93,2.89,4386740.0,8255316.0,481.606,434.792,2,4,4,14578.77,18122.83,40.07,2.94,816378.98
compute-14-15,10061.0,10010.99,50.01,3.0,52.4,1.2,3.07,3.46,4433656.0,8255316.0,481.606,436.882,1,4,3,16240.16,18122.83,28.07,2.41,935598.69
compute-5-17,10061.0,10010.86,50.13,3.0,84.3,1.3,3.41,3.35,4431484.0,8255316.0,481.606,435.125,2,4,4,15881.73,18122.83,24.07,3.22,881367.34
